Round,Client1_Train_Acc,Client2_Train_Acc,Global_Train_Acc
1,0.6939873695373535,0.9023668766021729,0.7981763802950376
2,0.7053011059761047,0.9141655564308167,0.8097325867001405
3,0.7100133895874023,0.9166179299354553,0.813314923313623
4,0.7141339778900146,0.9212661385536194,0.8176993198932935
5,0.7216051816940308,0.9355742335319519,0.8285889449141732
6,0.7219901084899902,0.9349183440208435,0.8284534672666183
7,0.7303881049156189,0.9361160397529602,0.8332513390111692
8,0.7582981586456299,0.9362871646881104,0.8472920272199564
9,0.763359785079956,0.9367648363113403,0.8500616925883728
10,0.7688847184181213,0.9403721690177917,0.8546278324460237
11,0.7705814242362976,0.9382048845291138,0.854392556884077
12,0.7743954658508301,0.9382690787315369,0.8563316881589933
13,0.7762561440467834,0.938112199306488,0.8571835947360876
14,0.7676941752433777,0.939010500907898,0.8533517274136847
15,0.7754291892051697,0.9424965977668762,0.8589622979694566
